video_id,label,label_name,num_frames,feature_dim,missing_joint_values_before_interpolation,missing_joint_ratio_before_interpolation,feature_min,feature_max,feature_mean,feature_std,input_csv,output_csv
Fall_Fall_f_raw_b_1_B_D_0001,1,Fall,89,30,0,0.0,-3.3415768146514893,3.6165647506713867,0.07578488439321518,0.9096066355705261,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0001.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0001_processed.csv
Fall_Fall_f_raw_b_1_B_D_0002,1,Fall,150,30,0,0.0,-3.333465337753296,3.8018710613250732,0.026086147874593735,0.8540858626365662,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0002.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0002_processed.csv
Fall_Fall_f_raw_b_1_B_D_0003,1,Fall,118,30,0,0.0,-12.2554349899292,6.221012592315674,-0.12222833186388016,0.9975708723068237,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0003.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0003_processed.csv
Fall_Fall_f_raw_b_1_B_D_0004,1,Fall,118,30,0,0.0,-12.2554349899292,6.221012592315674,-0.12222833186388016,0.9975708723068237,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0004.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0004_processed.csv
Fall_Fall_f_raw_b_1_B_D_0005,1,Fall,120,30,0,0.0,-2.010096549987793,3.050621271133423,-0.05268125608563423,0.7898612022399902,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0005.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0005_processed.csv
Fall_Fall_f_raw_b_1_B_D_0006_resized,1,Fall,90,30,0,0.0,-2.340096950531006,5.694162368774414,-0.044450175017118454,0.88346266746521,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0006_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0006_resized_processed.csv
Fall_Fall_f_raw_b_1_B_D_0007_resized,1,Fall,90,30,0,0.0,-1.6383134126663208,2.330375909805298,-0.18390606343746185,0.7107735276222229,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0007_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0007_resized_processed.csv
Fall_Fall_f_raw_b_1_B_D_0008_resized,1,Fall,90,30,0,0.0,-1.4663975238800049,1.4452381134033203,-0.3007853329181671,0.6376768946647644,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0008_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0008_resized_processed.csv
Fall_Fall_f_raw_b_1_B_D_0009_resized,1,Fall,120,30,0,0.0,-1.4332585334777832,1.3943376541137695,-0.3529035449028015,0.6243292093276978,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0009_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0009_resized_processed.csv
Fall_Fall_f_raw_b_1_B_D_0010_resized,1,Fall,90,30,0,0.0,-1.5293926000595093,2.0686538219451904,0.06410735845565796,0.7297976016998291,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0010_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0010_resized_processed.csv
Fall_Fall_f_raw_b_1_B_D_0011,1,Fall,60,30,0,0.0,-3.603513479232788,11.69859790802002,0.2011868953704834,1.1373710632324219,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0011.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0011_processed.csv
Fall_Fall_f_raw_b_1_B_D_0012,1,Fall,60,30,0,0.0,-3.603513479232788,11.69859790802002,0.2011868953704834,1.1373710632324219,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0012.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0012_processed.csv
Fall_Fall_f_raw_b_1_B_D_0013,1,Fall,120,30,0,0.0,-1.641619086265564,7.752983093261719,0.21529795229434967,0.8370946049690247,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0013.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0013_processed.csv
Fall_Fall_f_raw_b_1_B_D_0014,1,Fall,360,30,0,0.0,-3.989811897277832,10.894768714904785,0.04299180954694748,1.2154608964920044,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0014.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv
Fall_Fall_f_raw_b_1_B_D_0015,1,Fall,240,30,0,0.0,-2.1869001388549805,3.741651773452759,-0.10288932174444199,0.7994084358215332,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0015.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0015_processed.csv
Fall_Fall_f_raw_b_1_B_D_0016,1,Fall,360,30,0,0.0,-3.0481154918670654,5.664506435394287,-0.07635482400655746,1.0488029718399048,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0016.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv
Fall_Fall_f_raw_b_1_B_D_0017,1,Fall,360,30,0,0.0,-4.102499961853027,8.401641845703125,0.013952184468507767,1.3109378814697266,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0017.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv
Fall_Fall_f_raw_b_1_B_D_0018,1,Fall,360,30,0,0.0,-4.102499961853027,8.401641845703125,0.013952184468507767,1.3109378814697266,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0018.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv
Fall_Fall_f_raw_b_1_B_D_0019,1,Fall,90,30,0,0.0,-4.7705302238464355,3.8666629791259766,-0.15539945662021637,0.9127154350280762,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0019.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0019_processed.csv
Fall_Fall_f_raw_b_1_B_D_0020,1,Fall,90,30,0,0.0,-4.7705302238464355,3.8666629791259766,-0.15539945662021637,0.9127154350280762,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0020.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0020_processed.csv
Fall_Fall_f_raw_b_1_B_D_0021,1,Fall,240,30,0,0.0,-5.144262790679932,7.070770740509033,0.21983295679092407,1.0971258878707886,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0021.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0021_processed.csv
Fall_Fall_f_raw_b_1_B_D_0022,1,Fall,240,30,0,0.0,-6.760163307189941,4.820894718170166,0.143105611205101,0.82683265209198,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0022.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0022_processed.csv
Fall_Fall_f_raw_b_1_B_D_0023,1,Fall,360,30,0,0.0,-1.7355633974075317,2.551872491836548,0.15272578597068787,0.6358832716941833,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0023.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0023_processed.csv
Fall_Fall_f_raw_b_1_B_D_0024,1,Fall,120,30,0,0.0,-1.4342230558395386,1.2796207666397095,0.0624796561896801,0.5787356495857239,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0024.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0024_processed.csv
Fall_Fall_f_raw_b_1_B_D_0025,1,Fall,240,30,0,0.0,-2.670175552368164,2.237525224685669,0.123404860496521,0.7213358879089355,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0025.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0025_processed.csv
Fall_Fall_f_raw_b_1_B_D_0026,1,Fall,240,30,0,0.0,-2.670175552368164,2.237525224685669,0.123404860496521,0.7213358879089355,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_b_1_B_D_0026.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0026_processed.csv
