dataset,scene,scenario,camera,video_id,sequence_key,video_path,label,label_name,segment_id,segment_start_frame,segment_end_frame,start_frame,end_frame,sequence_length,valid_frame_count,aligned_frame_count,mean_confidence,min_confidence,std_confidence,missing_joint_ratio,low_conf_01_ratio,low_conf_02_ratio,low_conf_03_ratio,low_conf_05_ratio,mean_bbox_conf,min_bbox_conf,multi_person_ratio,bbox_aspect_mean,bbox_aspect_change,bbox_area_mean,bbox_area_change,bbox_center_velocity_mean,bbox_center_velocity_std,temporal_jitter,velocity_mean,velocity_std,bone_length_mean,bone_length_std,bone_length_cv,3d_velocity_mean,3d_velocity_std,3d_bone_length_mean,3d_bone_length_std,3d_bone_length_cv,3d_z_mean,3d_z_std,3d_z_velocity_mean,3d_z_velocity_std,3d_z_instability,path_2d_conf,path_3d
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_1,le2i__le2i_Coffee_room_01_Videos_video_1__segfall_0__s000001_e000060,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,1,Fall,fall_0,1,156,1,60,60,60,60,0.6328865885734558,0.0,0.3805895447731018,0.27352941036224365,0.1823529452085495,0.25,0.27352941036224365,0.31568628549575806,0.816430926322937,0.0,0.0,0.5529674291610718,0.302608460187912,9987.146484375,4550.75,0.05283872410655022,0.2573365867137909,0.03271110728383064,0.024765346199274063,0.05328919366002083,0.1543291062116623,0.0924646407365799,0.5991354701056546,0.14007291197776794,0.30069655179977417,2.0164434909820557,1.330270528793335,0.6597109589391483,-1.1687185941244849e-10,0.930949330329895,0.042326346039772034,0.19358836114406586,0.19358836114406586,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_1,le2i__le2i_Coffee_room_01_Videos_video_1__segfall_0__s000016_e000075,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,1,Fall,fall_0,1,156,16,75,60,60,60,0.7891782522201538,0.03768458962440491,0.27992844581604004,0.11666666716337204,0.045098040252923965,0.10196078568696976,0.11666666716337204,0.13823530077934265,0.923965573310852,0.8253636956214905,0.0,0.9565986394882202,0.6452208757400513,11013.921875,2680.217529296875,0.016951389610767365,0.007551445625722408,0.020178554579615593,0.01906878873705864,0.0159841887652874,0.16213268041610718,0.07361229509115219,0.4540222296948437,0.11732576042413712,0.2028207927942276,2.2665629386901855,1.1459273099899292,0.5055790796054683,1.8699497505991758e-09,1.0,0.05155430734157562,0.15982046723365784,0.15982046723365784,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_1,le2i__le2i_Coffee_room_01_Videos_video_1__segfall_0__s000031_e000090,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,1,Fall,fall_0,1,156,31,90,60,60,60,0.8061313033103943,0.03768458962440491,0.26210924983024597,0.1039215698838234,0.0313725508749485,0.08039215952157974,0.1039215698838234,0.11666666716337204,0.9201496839523315,0.8253636956214905,0.0,1.269911289215088,0.6175304055213928,9677.8291015625,2724.696533203125,0.01797422394156456,0.011320176534354687,0.02003561332821846,0.018090995028614998,0.01636762171983719,0.15593703091144562,0.07433822005987167,0.4767164214231165,0.13000138103961945,0.20537355542182922,2.2264161109924316,1.1353482007980347,0.5099440689673599,-2.3374371882489697e-10,0.9999999403953552,0.08686131983995438,0.1852978765964508,0.1852978765964508,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_1,le2i__le2i_Coffee_room_01_Videos_video_1__segfall_0__s000046_e000105,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,1,Fall,fall_0,1,156,46,105,60,60,60,0.8071097731590271,0.0458645299077034,0.25149455666542053,0.10294117778539658,0.018627451732754707,0.06470588594675064,0.10294117778539658,0.11666666716337204,0.9154238104820251,0.8253636956214905,0.0,1.55801260471344,0.40541309118270874,8233.083984375,1987.97265625,0.01293950341641903,0.012729549780488014,0.018127169460058212,0.015142608433961868,0.014680408872663975,0.15317577123641968,0.07585936039686203,0.4952406280961322,0.1057950109243393,0.0986737310886383,2.133455753326416,1.1402145624160767,0.5344446568407311,2.3374371327378185e-09,1.0,0.08004375547170639,0.12604589760303497,0.12604589760303497,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_1,le2i__le2i_Coffee_room_01_Videos_video_1__segfall_0__s000061_e000120,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,1,Fall,fall_0,1,156,61,120,60,60,60,0.806908369064331,0.07726563513278961,0.24188606441020966,0.10294117778539658,0.0058823530562222,0.0519607849419117,0.10294117778539658,0.1147058829665184,0.9088200330734253,0.8253636956214905,0.0,1.7126190662384033,0.2089545875787735,7194.375,591.2369384765625,0.005950021557509899,0.00882983859628439,0.01373982708901167,0.010204410180449486,0.0134794432669878,0.15165144205093384,0.07475272566080093,0.4929213446869161,0.08409283310174942,0.10247299820184708,2.0638864040374756,1.1422231197357178,0.5534328653303693,4.908617956544958e-09,1.0,0.07084602117538452,0.12238578498363495,0.12238578498363495,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_1,le2i__le2i_Coffee_room_01_Videos_video_1__segfall_0__s000076_e000135,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,1,Fall,fall_0,1,156,76,135,60,60,60,0.7984607815742493,0.10115399956703186,0.2453313022851944,0.10980392247438431,0.0,0.05000000074505806,0.10980392247438431,0.11764705926179886,0.9154856204986572,0.8922304511070251,0.0,1.6297158002853394,0.05380876734852791,7226.72607421875,167.70086669921875,0.0019142241217195988,0.0030638594180345535,0.008601395413279533,0.005801727529615164,0.008483778685331345,0.1531858891248703,0.07465412467718124,0.4873401705829206,0.05760763958096504,0.09223157167434692,2.0423030853271484,1.179948329925537,0.577753498317331,9.349748530951274e-09,1.0,0.04741762951016426,0.09873106330633163,0.09873106330633163,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_1,le2i__le2i_Coffee_room_01_Videos_video_1__segfall_0__s000091_e000150,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (1).avi,1,Fall,fall_0,1,156,91,150,60,60,60,0.7971543669700623,0.11939921975135803,0.2488848865032196,0.11372549086809158,0.0,0.054901961237192154,0.11372549086809158,0.11764705926179886,0.9151085615158081,0.913232147693634,0.0,1.6123485565185547,0.0047187660820782185,7181.59716796875,17.746963500976562,0.0008313960279338062,0.0007745506591163576,0.006289498880505562,0.003798282938078046,0.00467311218380928,0.15342824161052704,0.07452856004238129,0.48575199394890156,0.018883759155869484,0.029913829639554024,2.0417637825012207,1.2347432374954224,0.6047431359761364,5.843592720822244e-09,1.0,0.012897904962301254,0.02538876049220562,0.02538876049220562,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_1_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_1_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_10,le2i__le2i_Coffee_room_01_Videos_video_10__segfall_0__s000001_e000060,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (10).avi,1,Fall,fall_0,1,361,1,60,60,60,60,0.7155950665473938,0.0352625697851181,0.3043532371520996,0.1411764770746231,0.09019608050584793,0.1303921639919281,0.1411764770746231,0.2088235318660736,0.9131301045417786,0.8871305584907532,0.0,0.3572894036769867,0.05991913750767708,7190.07275390625,1097.419189453125,0.010818691924214363,0.007833207957446575,0.012233617715537548,0.011271856725215912,0.012435691431164742,0.16512776911258698,0.08050040155649185,0.4875007667598225,0.09843993932008743,0.20375868678092957,2.275538206100464,1.2242597341537476,0.5380086314802422,-2.3374371327378185e-09,0.9999999403953552,0.03512924909591675,0.17595690488815308,0.17595690488815308,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_10_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_10_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_10,le2i__le2i_Coffee_room_01_Videos_video_10__segfall_0__s000016_e000075,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (10).avi,1,Fall,fall_0,1,361,16,75,60,60,60,0.7487710118293762,0.013232356868684292,0.3193715512752533,0.14803922176361084,0.09117647260427475,0.12450980395078659,0.14803922176361084,0.21764706075191498,0.9083881378173828,0.8586567640304565,0.0,0.36363741755485535,0.051576897501945496,6968.005859375,1272.49072265625,0.012283510528504848,0.007965737022459507,0.012388699688017368,0.011703887023031712,0.011746544390916824,0.17068266868591309,0.07411032170057297,0.43419691099415336,0.09917955845594406,0.1990746408700943,2.2629404067993164,1.2397397756576538,0.5478443992993748,1.1687185663689093e-09,1.0,0.043728675693273544,0.17759163677692413,0.17759163677692413,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_10_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_10_normalized_3d.csv
Le2i,Coffee_room_01,,,le2i__Coffee_room_01_Videos_video_10,le2i__le2i_Coffee_room_01_Videos_video_10__segfall_0__s000031_e000090,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\external_raw\Le2i\Coffee_room_01\Videos\video (10).avi,1,Fall,fall_0,1,361,31,90,60,60,60,0.7383939623832703,0.007106410339474678,0.3427051901817322,0.19117647409439087,0.0941176488995552,0.14705882966518402,0.19117647409439087,0.25882354378700256,0.9015332460403442,0.8586567640304565,0.0,0.3413221538066864,0.0528264120221138,6133.107421875,1431.516357421875,0.012626581825315952,0.008656068705022335,0.012051348574459553,0.01095523964613676,0.011637335643172264,0.17412489652633667,0.07156522572040558,0.41099702656566817,0.07827985286712646,0.0772421807050705,2.2438387870788574,1.149903416633606,0.5124712661105842,7.479799002396703e-09,1.0,0.03164243325591087,0.042813148349523544,0.042813148349523544,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\extracted_2d_confidence\Le2i\le2i_Coffee_room_01_Videos_video_10_2d_confidence.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\phase5_external_generalization\data\normalized_3d\Le2i\le2i_Coffee_room_01_Videos_video_10_normalized_3d.csv
