video_key,path_2d,path_3d,label,binary_name,action_label,action_name,stratify_key,split
fall_f_raw_b_1_b_d_0002,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0002.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0002.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0005,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0005.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0005.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0017.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0017.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0020,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0020.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0020.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0022,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0022.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0022.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0035,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0035.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0035.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0036,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0036.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0036.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0048,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0048.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0048.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0052,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0052.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0052.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0066,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0066.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0066.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0099,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0099.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0099.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0102,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0102.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0102.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0107,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0107.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0107.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0125_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0125_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0125_resized.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0128_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0128_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0128_resized.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0132_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0132_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0132_resized.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0137_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0137_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0137_resized.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0140_resized,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0140_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0140_resized.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0156,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0156.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0156.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0163,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0163.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0163.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0164,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0164.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0164.csv,1,Fall,0,Fall,Fall,test
fall_f_raw_b_1_b_d_0171,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0171.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\4_normalized_3d\Fall_f_raw_b_1_B_D_0171.csv,1,Fall,0,Fall,Fall,test
