video_id,label,label_name,num_frames,output_csv,all_rule_features_valid_frames,split
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0002,0,Not_Fall,180,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0002_rule_features.csv,180,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0005_resized,0,Not_Fall,120,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0005_resized_rule_features.csv,120,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0010,0,Not_Fall,120,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0010_rule_features.csv,120,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0012,0,Not_Fall,120,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0012_rule_features.csv,120,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0022,0,Not_Fall,150,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0022_rule_features.csv,150,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0029,0,Not_Fall,150,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0029_rule_features.csv,150,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0034,0,Not_Fall,180,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0034_rule_features.csv,180,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0036,0,Not_Fall,180,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0036_rule_features.csv,180,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0039,0,Not_Fall,180,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0039_rule_features.csv,180,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0051,0,Not_Fall,120,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\chen2020_yolov8_three_thresholds\data\rule_features\Not_Fall\Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0051_rule_features.csv,120,test
