file_name,old_path,new_path,status,use_existing_3d_recommended,old_rows,new_rows,old_unique_frames,new_unique_frames,common_frames,old_frames_missing_in_new,new_frames_extra_vs_old,old_to_new_frame_coverage,new_to_old_frame_coverage,mean_abs_xy_error,median_abs_xy_error,p95_abs_xy_error,max_abs_xy_error,old_duplicate_frames,new_duplicate_frames,mean_confidence,min_confidence,max_confidence,missing_joint_ratio,low_conf_01_ratio,low_conf_02_ratio,low_conf_03_ratio,low_conf_05_ratio,mean_bbox_conf,min_bbox_conf,bbox_aspect_std,bbox_area_mean,error
Fall_f_raw_b_1_B_D_0001.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0001.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0001.csv,OK,True,89,89,89,89,89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.7613776922225952,0.002255263039842248,0.9987922310829163,0.13549239920687375,0.06939854593522803,0.10310641110376735,0.13549239920687375,0.19960343688037013,0.8646191358566284,0.39600223302841187,0.43464183807373047,281825.40625,
Fall_f_raw_b_1_B_D_0002.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0002.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0002.csv,OK,True,150,150,150,150,150,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.7893140912055969,0.0021802575793117285,0.9986488223075867,0.11176470588235295,0.03529411764705882,0.08196078431372548,0.11176470588235295,0.14980392156862746,0.8813991546630859,0.2759116590023041,0.3963533341884613,342587.28125,
Fall_f_raw_b_1_B_D_0003.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0003.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0003.csv,OK,True,118,118,118,118,118,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.7220194935798645,0.00032029030262492597,0.9989398121833801,0.1370887337986042,0.08125623130608176,0.11166500498504486,0.1370887337986042,0.2193419740777667,0.8528594374656677,0.304788738489151,0.3178286850452423,210267.421875,
Fall_f_raw_b_1_B_D_0004.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0004.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0004.csv,OK,True,118,118,118,118,118,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.7220194935798645,0.00032029030262492597,0.9989398121833801,0.1370887337986042,0.08125623130608176,0.11166500498504486,0.1370887337986042,0.2193419740777667,0.8528594374656677,0.304788738489151,0.3178286850452423,210267.421875,
Fall_f_raw_b_1_B_D_0005.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0005.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0005.csv,OK,True,120,120,120,120,120,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.8344495296478271,0.012979637831449509,0.9978964328765869,0.06470588235294118,0.026470588235294117,0.050980392156862744,0.06470588235294118,0.11176470588235295,0.9019914269447327,0.7173702120780945,0.28012725710868835,221557.53125,
Fall_f_raw_b_1_B_D_0006_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0006_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0006_resized.csv,OK,True,90,90,90,90,90,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.796967625617981,0.001086101634427905,0.9996110796928406,0.1111111111111111,0.06993464052287582,0.09084967320261438,0.1111111111111111,0.1437908496732026,0.914091169834137,0.7866976857185364,0.07754390686750412,617983.5625,
Fall_f_raw_b_1_B_D_0007_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0007_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0007_resized.csv,OK,True,90,90,90,90,90,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.7317309379577637,8.872469334164634e-05,0.9992470741271973,0.15098039215686274,0.13071895424836602,0.1437908496732026,0.15098039215686274,0.20130718954248367,0.8869046568870544,0.8204396367073059,0.04473121836781502,561446.25,
Fall_f_raw_b_1_B_D_0008_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0008_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0008_resized.csv,OK,True,90,90,90,90,90,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.802446186542511,0.00592479482293129,0.9983566403388977,0.11437908496732026,0.10718954248366012,0.11372549019607843,0.11437908496732026,0.12287581699346405,0.9229170083999634,0.8514429926872253,0.045516204088926315,486274.75,
Fall_f_raw_b_1_B_D_0009_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0009_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0009_resized.csv,OK,True,120,120,120,120,120,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.7785119414329529,0.005903810728341341,0.9973772764205933,0.11470588235294117,0.11225490196078432,0.1142156862745098,0.11470588235294117,0.12696078431372548,0.9352008104324341,0.8986949920654297,0.061935581266880035,432328.0625,
Fall_f_raw_b_1_B_D_0010_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\2_extracted_2d\Fall_f_raw_b_1_B_D_0010_resized.csv,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\data\5_extracted_2d_confidence\Fall_f_raw_b_1_B_D_0010_resized.csv,OK,True,90,90,90,90,90,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.7795237898826599,0.0005010441527701914,0.9999009370803833,0.12745098039215685,0.09673202614379085,0.11895424836601307,0.12745098039215685,0.1588235294117647,0.9124928712844849,0.6583743095397949,0.08080609142780304,571428.0625,
