video_id,label,label_name,num_sequences,num_original_frames_mean,num_padded_sequences,num_all_zero_sequences,split
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0002,0,Not_Fall,4,180.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0005_resized,0,Not_Fall,2,120.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0010,0,Not_Fall,2,120.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0012,0,Not_Fall,2,120.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0022,0,Not_Fall,3,150.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0029,0,Not_Fall,3,150.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0034,0,Not_Fall,4,180.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0036,0,Not_Fall,4,180.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0039,0,Not_Fall,4,180.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0051,0,Not_Fall,2,120.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0058,0,Not_Fall,2,120.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0075,0,Not_Fall,1,90.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0076,0,Not_Fall,1,90.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0080,0,Not_Fall,1,90.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0091_resized,0,Not_Fall,1,96.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0095_resized,0,Not_Fall,1,96.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0098_resized,0,Not_Fall,1,96.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0099_resized,0,Not_Fall,1,96.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0105_resized,0,Not_Fall,2,120.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0122_resized,0,Not_Fall,1,90.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0152_resized,0,Not_Fall,2,120.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0160_resized,0,Not_Fall,2,121.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0167_resized,0,Not_Fall,14,480.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0168_resized,0,Not_Fall,14,480.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0180,0,Not_Fall,6,240.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0189,0,Not_Fall,1,80.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0194,0,Not_Fall,1,45.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0218,0,Not_Fall,3,150.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0252_resized,0,Not_Fall,1,90.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0259_resized,0,Not_Fall,1,30.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_1_C_D_0263_resized,0,Not_Fall,1,60.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_2_C_M_06_resized,0,Not_Fall,2,120.0,0,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_2_C_M_103_resized,0,Not_Fall,1,72.0,1,0,test
Not_Fall_Not_Fall_Sit_nf_raw_c_2_C_M_125_resized,0,Not_Fall,8,300.0,0,0,test
