frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,source_file,label,action_label,action_name
0,383.30169677734375,387.50115966796875,0.0,410.16455078125,373.7919921875,5.72597074508667,374.7608947753906,368.1977233886719,11.45194149017334,414.8579406738281,431.50823974609375,17.177913665771484,356.4388427734375,401.2103271484375,-5.72597074508667,306.5034484863281,398.1874084472656,-11.45194149017334,319.0361022949219,433.6318054199219,-17.177913665771484,356.73712158203125,333.35321044921875,-3.8173136711120605,330.1725769042969,279.20526123046875,-7.634627342224121,330.1725769042969,279.20526123046875,-9.54328441619873,264.6524658203125,253.8934783935547,-11.45194149017334,292.5111083984375,306.576904296875,-15.269254684448242,295.96527099609375,389.1392517089844,-19.08656883239746,291.5719299316406,355.68243408203125,-22.90388298034668,367.83404541015625,251.83360290527344,15.269254684448242,415.22772216796875,291.6304016113281,19.08656883239746,376.1759338378906,267.5700378417969,22.90388298034668,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
1,367.13037109375,394.504150390625,0.0,391.1055603027344,382.7689514160156,5.629372596740723,366.97186279296875,364.83209228515625,11.258745193481445,406.6542663574219,426.2186584472656,16.888118743896484,343.15521240234375,406.2393493652344,-5.629372596740723,301.9247131347656,388.0318603515625,-11.258745193481445,317.80694580078125,429.20355224609375,-16.888118743896484,345.6127014160156,338.6928405761719,-3.7529149055480957,324.09503173828125,282.88153076171875,-7.505829811096191,324.09503173828125,282.88153076171875,-9.382287979125977,259.7981872558594,260.7031555175781,-11.258745193481445,291.37115478515625,309.56195068359375,-15.011659622192383,304.38128662109375,386.8997497558594,-18.764575958251953,281.81201171875,379.9174499511719,-22.51749038696289,356.8189392089844,256.20111083984375,15.011659622192383,405.472900390625,281.2228698730469,18.764575958251953,376.3852233886719,296.9444885253906,22.51749038696289,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
2,370.962158203125,390.1611633300781,0.0,393.7228088378906,376.6286315917969,5.651277542114258,363.51824951171875,355.940673828125,11.302555084228516,408.19659423828125,424.542236328125,16.953832626342773,348.20147705078125,403.6936950683594,-5.651277542114258,297.8114318847656,384.72186279296875,-11.302555084228516,308.48675537109375,428.3221435546875,-16.953832626342773,345.5871276855469,336.883544921875,-3.7675182819366455,320.21209716796875,283.60595703125,-7.535036563873291,320.21209716796875,283.60595703125,-9.418795585632324,251.25161743164062,269.68133544921875,-11.302555084228516,289.6994934082031,312.54931640625,-15.070073127746582,301.4085693359375,395.11297607421875,-18.83759117126465,285.52606201171875,390.3043518066406,-22.60511016845703,350.72467041015625,254.66258239746094,15.070073127746582,394.95587158203125,282.623046875,18.83759117126465,368.3465576171875,274.0701599121094,22.60511016845703,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
3,364.53765869140625,378.8277587890625,0.0,386.7912902832031,365.17156982421875,5.289061069488525,364.4206237792969,357.0856628417969,10.57812213897705,405.2332763671875,421.67529296875,15.867183685302734,342.28399658203125,392.4839172363281,-5.289061069488525,298.97613525390625,386.111083984375,-10.57812213897705,303.34625244140625,429.0915832519531,-15.867183685302734,337.9552307128906,332.3765563964844,-3.526040554046631,311.372802734375,285.92535400390625,-7.052081108093262,311.372802734375,285.92535400390625,-8.815101623535156,243.14285278320312,274.0075378417969,-10.57812213897705,282.6885070800781,315.42034912109375,-14.104162216186523,295.85284423828125,395.8968200683594,-17.630203247070312,287.21368408203125,408.311279296875,-21.1562442779541,340.05712890625,256.43035888671875,14.104162216186523,385.00457763671875,278.7687683105469,17.630203247070312,366.49456787109375,279.04443359375,21.1562442779541,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
4,352.3910217285156,371.58367919921875,0.0,373.77410888671875,359.823974609375,4.830435276031494,361.8525085449219,369.5674133300781,9.660870552062988,404.7333679199219,429.53570556640625,14.49130630493164,331.0079345703125,383.3433837890625,-4.830435276031494,302.8074645996094,394.420166015625,-9.660870552062988,298.73822021484375,429.6541442871094,-14.49130630493164,326.89849853515625,330.9621887207031,-3.220290184020996,301.40594482421875,290.3406982421875,-6.440580368041992,301.40594482421875,290.3406982421875,-8.050725936889648,237.0377655029297,280.61761474609375,-9.660870552062988,275.338623046875,317.3839111328125,-12.881160736083984,294.8148193359375,390.4263000488281,-16.101451873779297,286.2688903808594,411.94110107421875,-19.321741104125977,327.4732971191406,263.2975158691406,12.881160736083984,372.9130554199219,279.9669189453125,16.101451873779297,335.70782470703125,281.92840576171875,19.321741104125977,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
5,344.4182434082031,371.05078125,0.0,364.554931640625,359.1538391113281,4.760570049285889,358.1526794433594,374.1186218261719,9.521140098571777,404.32708740234375,426.93206787109375,14.281710624694824,324.28155517578125,382.94769287109375,-4.760570049285889,302.39617919921875,401.792236328125,-9.521140098571777,300.51483154296875,429.5744934082031,-14.281710624694824,318.4526062011719,332.15673828125,-3.173713207244873,292.4869689941406,293.2626953125,-6.347426414489746,292.4869689941406,293.2626953125,-7.93428373336792,228.11395263671875,283.1934814453125,-9.521140098571777,268.6552734375,320.4345703125,-12.694852828979492,292.0859375,390.7284851074219,-15.86856746673584,290.95947265625,417.6150817871094,-19.042280197143555,316.31866455078125,266.0907897949219,12.694852828979492,361.45111083984375,282.1957092285156,15.86856746673584,331.07476806640625,287.19696044921875,19.042280197143555,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
6,341.4759521484375,374.97833251953125,0.0,358.4500427246094,360.366943359375,4.955775260925293,345.1539001464844,368.82904052734375,9.911550521850586,405.8019714355469,416.1158447265625,14.867325782775879,324.5018615722656,389.5897521972656,-4.955775260925293,300.8216857910156,406.7408752441406,-9.911550521850586,305.2633056640625,430.4880065917969,-14.867325782775879,313.18463134765625,337.3968811035156,-3.303849935531616,284.893310546875,299.8154296875,-6.607699871063232,284.893310546875,299.8154296875,-8.259625434875488,214.61978149414062,288.924560546875,-9.911550521850586,265.5612487792969,331.43389892578125,-13.215399742126465,291.4666748046875,408.009033203125,-16.519250869750977,284.4264831542969,432.32513427734375,-19.823101043701172,304.22540283203125,268.1969299316406,13.215399742126465,351.1137390136719,283.2718505859375,16.519250869750977,324.3029479980469,293.68951416015625,19.823101043701172,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
7,332.8455505371094,371.227294921875,0.0,347.993896484375,357.4668273925781,4.915217876434326,336.4417724609375,365.2801513671875,9.830435752868652,401.2680358886719,412.22955322265625,14.745655059814453,317.69720458984375,384.9877624511719,-4.915217876434326,292.343994140625,401.85394287109375,-9.830435752868652,307.9737548828125,430.9659423828125,-14.745655059814453,302.736572265625,335.7157287597656,-3.2768120765686035,272.6275634765625,300.20416259765625,-6.553624153137207,272.6275634765625,300.20416259765625,-8.192030906677246,201.9453582763672,297.7402038574219,-9.830435752868652,255.78173828125,329.69927978515625,-13.107248306274414,288.5342712402344,403.9244689941406,-16.384061813354492,286.4363098144531,432.0445556640625,-19.660871505737305,289.473388671875,270.7090148925781,13.107248306274414,339.4140319824219,285.16766357421875,16.384061813354492,318.1531677246094,310.5084533691406,19.660871505737305,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
8,325.4669189453125,374.0028076171875,0.0,340.7771911621094,359.3410339355469,4.765188217163086,330.06048583984375,372.684326171875,9.530376434326172,393.1995849609375,410.7486877441406,14.295565605163574,310.1566467285156,388.66455078125,-4.765188217163086,289.9079895019531,416.83355712890625,-9.530376434326172,304.77801513671875,432.52337646484375,-14.295565605163574,293.48309326171875,339.93255615234375,-3.1767921447753906,261.499267578125,305.8622741699219,-6.353584289550781,261.499267578125,305.8622741699219,-7.941980838775635,196.34095764160156,300.50189208984375,-9.530376434326172,244.7920379638672,336.8094787597656,-12.707168579101562,284.5262756347656,403.18218994140625,-15.88396167755127,288.7506103515625,432.3274230957031,-19.060752868652344,278.20648193359375,274.9150695800781,12.707168579101562,328.22503662109375,287.5701904296875,15.88396167755127,308.9132995605469,312.84027099609375,19.060752868652344,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
9,317.1781005859375,373.71844482421875,0.0,328.07525634765625,359.7090759277344,4.708069324493408,320.4814453125,373.7508239746094,9.416138648986816,389.0489501953125,403.60345458984375,14.1242094039917,306.2809143066406,387.727783203125,-4.708069324493408,288.6943664550781,414.508056640625,-9.416138648986816,311.2226257324219,434.55474853515625,-14.1242094039917,284.773681640625,341.2662353515625,-3.1387131214141846,252.3692626953125,308.81402587890625,-6.277426242828369,252.3692626953125,308.81402587890625,-7.846782684326172,187.1857452392578,306.80413818359375,-9.416138648986816,241.47911071777344,338.704833984375,-12.554852485656738,283.86029052734375,409.71600341796875,-15.693565368652344,284.1748046875,433.9338684082031,-18.832277297973633,263.2594299316406,278.9231872558594,12.554852485656738,315.3186950683594,291.954345703125,15.693565368652344,313.96685791015625,317.8123779296875,18.832277297973633,C:/Users/ASUS/Downloads/3D_Human_Pose_NCKH/phase5_external_generalization/data/external_raw/MulCamFall/dataset/chute12/cam3.avi,-1,-1,External
