frame,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,person_index,num_persons,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,386.1925964355469,1.5316543579101562,901.433349609375,705.6762084960938,0.951736569404602,0,1,656.2153930664062,53.85579299926758,0.0025174792390316725,677.697509765625,48.3248291015625,0.0009826818713918328,638.1282348632812,45.0267219543457,0.0016050746198743582,707.13037109375,25.218017578125,0.0038013004232198,579.9733276367188,15.677845001220703,0.008768119849264622,756.3528442382812,0.0,0.11433438956737518,498.87628173828125,0.0,0.22608283162117004,821.6621704101562,0.0,0.5299959778785706,432.8467712402344,15.957881927490234,0.7773501873016357,857.313720703125,91.40518188476562,0.6417824029922485,454.87884521484375,183.40576171875,0.8142714500427246,746.772216796875,168.77064514160156,0.9847805500030518,578.0659790039062,178.06251525878906,0.9899165034294128,741.97216796875,383.50823974609375,0.9756704568862915,579.37939453125,413.52227783203125,0.9834210276603699,744.2698974609375,532.6199951171875,0.943970799446106,597.572265625,593.015380859375,0.9539323449134827
1,386.1605529785156,1.5094757080078125,901.3569946289062,705.6461181640625,0.9514055252075195,0,1,656.0653686523438,53.882423400878906,0.0025468245148658752,677.4964599609375,48.21148681640625,0.0009932152461260557,637.8134765625,45.09575271606445,0.0016224310966208577,706.781494140625,24.780624389648438,0.0038142348639667034,579.2742309570312,15.641063690185547,0.008833888918161392,756.3241577148438,0.0,0.11554678529500961,498.21392822265625,0.0,0.22662889957427979,821.5409545898438,0.0,0.5324909090995789,432.35736083984375,16.332778930664062,0.7772414088249207,856.975341796875,91.29936218261719,0.6436866521835327,454.7978210449219,183.77261352539062,0.8144621253013611,747.8426513671875,168.6683349609375,0.9848150014877319,578.6903686523438,178.34449768066406,0.9899055361747742,742.7232055664062,383.3432922363281,0.9756906628608704,579.677734375,414.35968017578125,0.9833695292472839,743.7854614257812,532.813720703125,0.9438906311988831,597.5545043945312,593.6611328125,0.9537198543548584
2,386.145263671875,1.563812255859375,901.503662109375,705.9212646484375,0.9510361552238464,0,1,654.6336669921875,54.53766632080078,0.002382898237556219,675.8645629882812,48.977909088134766,0.0009316980722360313,636.6248779296875,45.952972412109375,0.0015083164907991886,705.2006225585938,25.284507751464844,0.003693291684612632,578.5991821289062,16.31744384765625,0.008423441089689732,755.775390625,0.0,0.11354145407676697,497.6758117675781,0.0,0.2219841331243515,821.3377075195312,0.0,0.5346111059188843,431.869873046875,16.385902404785156,0.7772393822669983,857.1390380859375,91.78825378417969,0.6459678411483765,454.6138916015625,184.46649169921875,0.8150012493133545,748.3048706054688,168.0640869140625,0.985237181186676,579.1513671875,177.8609619140625,0.9901582598686218,742.72314453125,383.246337890625,0.9764199256896973,579.5867919921875,414.2577209472656,0.9838176965713501,743.7823486328125,533.0938720703125,0.9455568790435791,597.1224975585938,593.959228515625,0.9550444483757019
3,386.296875,1.4525299072265625,901.500244140625,706.185302734375,0.9510542154312134,0,1,656.9141235351562,54.36946105957031,0.0023951989132910967,677.8845825195312,48.62548828125,0.00092020706506446,638.5462646484375,45.75790786743164,0.0015274820616468787,706.2272338867188,24.750778198242188,0.003617473877966404,579.408935546875,16.10793685913086,0.008658809587359428,756.1382446289062,0.0,0.11503305286169052,497.813720703125,0.0,0.22738975286483765,821.233154296875,0.0,0.5380163788795471,432.04156494140625,17.181564331054688,0.782791793346405,857.3530883789062,92.79773712158203,0.6479216814041138,454.5367431640625,184.49105834960938,0.8187506198883057,748.6728515625,171.52468872070312,0.9853851199150085,579.20361328125,181.28407287597656,0.9903073310852051,743.1124877929688,386.11358642578125,0.9757649302482605,579.1693115234375,416.6247253417969,0.9834180474281311,743.1568603515625,533.921875,0.943548321723938,597.0411376953125,592.658203125,0.9534679055213928
4,386.3218688964844,1.4857635498046875,901.5532836914062,706.1397705078125,0.9510225057601929,0,1,656.1722412109375,54.9301643371582,0.0024024585727602243,677.1097412109375,49.296112060546875,0.0009322157711721957,638.0943603515625,46.18915557861328,0.0015254397876560688,705.587890625,25.60521697998047,0.00367712858133018,579.5820922851562,16.40939712524414,0.00858287513256073,755.7926025390625,0.0,0.11539856344461441,497.7684326171875,0.0,0.22387638688087463,821.1800537109375,0.0,0.5392101407051086,432.20928955078125,16.987483978271484,0.7781383395195007,857.36328125,94.75975036621094,0.64822918176651,454.40106201171875,185.39691162109375,0.8151403665542603,747.2716064453125,171.503662109375,0.9852283000946045,577.9989013671875,180.68045043945312,0.9900752902030945,742.672607421875,387.51556396484375,0.9753963947296143,578.7161865234375,416.0334777832031,0.9829674959182739,743.1083374023438,535.2907104492188,0.9424363374710083,597.0575561523438,592.2340087890625,0.9523078203201294
5,385.5063171386719,1.3461227416992188,901.371826171875,706.7691650390625,0.9508877396583557,0,1,655.9042358398438,53.57486343383789,0.0025237412191927433,676.745849609375,47.963401794433594,0.0009705366683192551,637.8626708984375,44.84450912475586,0.0016036875313147902,704.7636108398438,24.415603637695312,0.0037760448176413774,579.1093139648438,15.177852630615234,0.00897651631385088,755.3162231445312,0.0,0.12055493891239166,496.43255615234375,0.0,0.23363029956817627,821.5519409179688,0.0,0.5463300347328186,430.84368896484375,16.573745727539062,0.7844892740249634,857.5706176757812,95.11580657958984,0.6527888178825378,454.5993347167969,184.99798583984375,0.8193485140800476,746.824462890625,171.2724609375,0.985629141330719,576.9905395507812,180.4024200439453,0.9903714060783386,743.1688842773438,387.2080078125,0.9756577610969543,577.9686279296875,415.15985107421875,0.9831954836845398,742.8787841796875,535.3404541015625,0.9425023198127747,597.2276000976562,591.520263671875,0.9524631500244141
6,385.2915344238281,1.3227767944335938,901.6173706054688,706.90234375,0.9509721398353577,0,1,655.3739013671875,54.471588134765625,0.002531755482777953,675.958251953125,48.73107147216797,0.0009757649968378246,637.6158447265625,45.72450256347656,0.0016013041604310274,703.63330078125,24.583499908447266,0.003791732946410775,579.3071899414062,15.518417358398438,0.008934698067605495,754.9815063476562,0.0,0.12109875679016113,496.421630859375,0.0,0.23235221207141876,821.998779296875,0.0,0.5485219955444336,430.23760986328125,16.620357513427734,0.783380925655365,858.318359375,95.56695556640625,0.6547321677207947,454.7423400878906,186.03053283691406,0.8189231157302856,747.546630859375,173.43228149414062,0.9854185581207275,577.9014892578125,182.6451416015625,0.9901793003082275,743.4027099609375,388.2261657714844,0.9748833775520325,578.187255859375,416.4436340332031,0.9825621843338013,743.029541015625,535.7015380859375,0.9405055642127991,597.5084228515625,591.8953857421875,0.9506292343139648
7,385.4186096191406,1.1978530883789062,901.3565673828125,708.2020263671875,0.9503148794174194,0,1,655.294677734375,55.416160583496094,0.0025504683144390583,675.8065185546875,49.67106628417969,0.0009905400220304728,637.8447265625,46.544654846191406,0.0015975122805684805,703.6146850585938,25.212947845458984,0.0038659297861158848,580.3277587890625,15.887775421142578,0.008849533274769783,755.0147705078125,0.0,0.12342067062854767,497.3077697753906,0.0,0.23158973455429077,821.330810546875,0.0,0.55518639087677,430.5079345703125,16.960853576660156,0.7816897034645081,858.130615234375,96.50234985351562,0.659527599811554,454.85015869140625,187.42849731445312,0.8176721334457397,746.8367919921875,174.79583740234375,0.9855971932411194,577.7372436523438,183.80552673339844,0.9901617765426636,743.348388671875,389.6034851074219,0.9749529361724854,578.3424072265625,417.08880615234375,0.9823790192604065,742.8013916015625,536.7901611328125,0.9402722716331482,597.4503784179688,592.5135498046875,0.9500824809074402
8,385.69024658203125,1.1760635375976562,900.856201171875,709.1905517578125,0.9499842524528503,0,1,656.6238403320312,54.416805267333984,0.0025786245241761208,676.8032836914062,48.60453414916992,0.000996941002085805,639.059326171875,45.52294921875,0.0016161389648914337,703.8344116210938,24.324085235595703,0.003873563604429364,581.207275390625,15.19771957397461,0.008978268131613731,755.2884521484375,0.0,0.12431912869215012,498.179931640625,0.0,0.23379167914390564,821.3611450195312,0.0,0.555468738079071,431.37908935546875,17.646800994873047,0.7825214266777039,858.6143188476562,98.08357238769531,0.6586761474609375,454.56854248046875,187.31739807128906,0.817707896232605,748.2100219726562,176.54859924316406,0.9855072498321533,579.41259765625,185.71475219726562,0.9901143312454224,743.3751220703125,390.7557678222656,0.9745256900787354,578.2991943359375,418.8179626464844,0.9820764064788818,742.218505859375,537.82373046875,0.9390968084335327,597.3568725585938,593.7286376953125,0.9490649700164795
9,385.51666259765625,1.165740966796875,901.2454833984375,710.0194702148438,0.9492613077163696,0,1,658.0423583984375,53.805049896240234,0.002694847993552685,678.0419311523438,48.20156478881836,0.0010288998018950224,640.9683837890625,44.843868255615234,0.0016823953483253717,704.47265625,24.22460174560547,0.003961564507335424,583.6865234375,14.454185485839844,0.009319640696048737,756.0653076171875,0.0,0.12953677773475647,499.7514953613281,0.0,0.2465084046125412,822.052001953125,0.0,0.5639894008636475,431.171142578125,17.571910858154297,0.7927066683769226,858.7564086914062,97.61526489257812,0.6654995083808899,454.8983154296875,188.83154296875,0.8248726725578308,749.1929931640625,179.1595458984375,0.9859563112258911,580.8536376953125,187.7974090576172,0.9905185103416443,744.0509033203125,393.9465637207031,0.9741912484169006,578.9733276367188,420.12725830078125,0.9820001721382141,742.8642578125,538.8765869140625,0.9371752738952637,597.6004638671875,593.4586181640625,0.9478193521499634
