video_id,frame_idx,source_file,label,label_name,joint_0_name,joint_0_x,joint_0_y,joint_1_name,joint_1_x,joint_1_y,joint_2_name,joint_2_x,joint_2_y,joint_3_name,joint_3_x,joint_3_y,joint_4_name,joint_4_x,joint_4_y,joint_5_name,joint_5_x,joint_5_y,joint_6_name,joint_6_x,joint_6_y,joint_7_name,joint_7_x,joint_7_y,joint_8_name,joint_8_x,joint_8_y,joint_9_name,joint_9_x,joint_9_y,joint_10_name,joint_10_x,joint_10_y,joint_11_name,joint_11_x,joint_11_y,joint_12_name,joint_12_x,joint_12_y,joint_13_name,joint_13_x,joint_13_y,joint_14_name,joint_14_x,joint_14_y,num_missing_joints_before_interpolation,all_joints_missing_before_interpolation,num_zero_joints_after_interpolation
Fall__Fall_f_raw_c_3_C_D_0123_resized,0,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.3631625,-1.5102262,neck,0.20491283,-0.9787802,right_shoulder,-0.45575348,-1.018461,right_elbow,-0.90832025,-0.47371295,right_wrist,-0.895457,-0.20421796,left_shoulder,0.86557925,-0.9390999,left_elbow,1.0535334,-0.34429377,left_wrist,0.7758255,-0.097784884,mid_hip,0.0,0.0,right_hip,-0.44613487,-0.020031657,right_knee,-0.88535947,0.3009036,right_ankle,-0.96755064,1.445102,left_hip,0.44613487,0.020031657,left_knee,0.77343476,0.2572847,left_ankle,0.14107832,1.4765252,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,1,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.3573628,-1.4970881,neck,0.20388463,-0.9789949,right_shoulder,-0.4420037,-1.010057,right_elbow,-0.87207603,-0.4603953,right_wrist,-0.8518817,-0.22829835,left_shoulder,0.8497731,-0.9479324,left_elbow,1.0425546,-0.38908297,left_wrist,0.78000176,-0.12354246,mid_hip,0.0,0.0,right_hip,-0.43635708,-0.015606762,right_knee,-0.8433314,0.21544726,right_ankle,-0.9339228,1.3950951,left_hip,0.43635705,0.015606762,left_knee,0.798113,0.16729915,left_ankle,0.14700164,1.4084748,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,2,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.35338655,-1.4993911,neck,0.19950117,-0.97989756,right_shoulder,-0.44578892,-1.0106893,right_elbow,-0.8639869,-0.46179715,right_wrist,-0.8282048,-0.23581992,left_shoulder,0.84479123,-0.9491058,left_elbow,1.0369611,-0.39932302,left_wrist,0.78621066,-0.11642633,mid_hip,0.0,0.0,right_hip,-0.43687332,-0.016361687,right_knee,-0.85003716,0.23220228,right_ankle,-0.92932487,1.3812196,left_hip,0.43687332,0.016362175,left_knee,0.7966271,0.19894814,left_ankle,0.14109501,1.4104801,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,3,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.34807983,-1.5084596,neck,0.19786082,-0.9802301,right_shoulder,-0.44829717,-1.01069,right_elbow,-0.86734426,-0.4411408,right_wrist,-0.84114254,-0.23061082,left_shoulder,0.8440188,-0.9497708,left_elbow,1.0390023,-0.39136502,left_wrist,0.7922229,-0.11754504,mid_hip,0.0,0.0,right_hip,-0.43771854,-0.01807033,right_knee,-0.851746,0.23096384,right_ankle,-0.93791074,1.3698064,left_hip,0.43771857,0.01807082,left_knee,0.8002877,0.22116263,left_ankle,0.14719436,1.4255369,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,4,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.34914336,-1.5023164,neck,0.21056394,-0.9775801,right_shoulder,-0.43713814,-1.0114022,right_elbow,-0.85379386,-0.45550844,right_wrist,-0.829665,-0.2435778,left_shoulder,0.8582661,-0.9437574,left_elbow,1.0558257,-0.38755444,left_wrist,0.802414,-0.11634694,mid_hip,0.0,0.0,right_hip,-0.43972528,-0.020132178,right_knee,-0.8447381,0.22237274,right_ankle,-0.92435384,1.3460236,left_hip,0.43972534,0.020132666,left_knee,0.8266924,0.21971345,left_ankle,0.17517194,1.408795,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,5,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.3420466,-1.5032495,neck,0.20517601,-0.9787251,right_shoulder,-0.44179443,-1.0161238,right_elbow,-0.8583786,-0.48410365,right_wrist,-0.82090354,-0.25566125,left_shoulder,0.8521464,-0.94132596,left_elbow,1.0567132,-0.39397594,left_wrist,0.8124457,-0.12714432,mid_hip,0.0,0.0,right_hip,-0.43984094,-0.02088963,right_knee,-0.8484708,0.21301216,right_ankle,-0.93324965,1.3266498,left_hip,0.43984094,0.02088963,left_knee,0.8289809,0.20619182,left_ankle,0.17533828,1.3893245,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,6,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.34569314,-1.5138189,neck,0.20151643,-0.9794851,right_shoulder,-0.45242083,-1.0086757,right_elbow,-0.85234475,-0.44691747,right_wrist,-0.86328334,-0.24798708,left_shoulder,0.8554536,-0.95029444,left_elbow,1.0770128,-0.3927113,left_wrist,0.8338981,-0.12628895,mid_hip,0.0,0.0,right_hip,-0.44477648,-0.017704759,right_knee,-0.8636668,0.24363764,right_ankle,-0.93917406,1.3628097,left_hip,0.44477645,0.017704759,left_knee,0.8351391,0.22636424,left_ankle,0.16475429,1.4117277,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,7,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.35945478,-1.5189707,neck,0.21527751,-0.9765529,right_shoulder,-0.4428432,-1.0082238,right_elbow,-0.8530445,-0.45611054,right_wrist,-0.8551583,-0.23100616,left_shoulder,0.8733982,-0.9448816,left_elbow,1.100635,-0.39532575,left_wrist,0.85768116,-0.11756732,mid_hip,0.0,0.0,right_hip,-0.44741926,-0.019251335,right_knee,-0.8537019,0.24149308,right_ankle,-0.9313163,1.367831,left_hip,0.44741923,0.019251827,left_knee,0.8538351,0.23310049,left_ankle,0.1839616,1.4340925,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,8,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.35949507,-1.5107318,neck,0.21914738,-0.97569174,right_shoulder,-0.43649253,-1.0127727,right_elbow,-0.8638169,-0.4949749,right_wrist,-0.8706385,-0.23876448,left_shoulder,0.87478733,-0.9386113,left_elbow,1.0988804,-0.3936185,left_wrist,0.85506636,-0.114041,mid_hip,0.0,0.0,right_hip,-0.44543055,-0.020669242,right_knee,-0.8407248,0.23766331,right_ankle,-0.92290264,1.3664908,left_hip,0.44543052,0.020669242,left_knee,0.85134107,0.22261307,left_ankle,0.19305806,1.4302237,0,0,0
Fall__Fall_f_raw_c_3_C_D_0123_resized,9,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\paper_skeleton_csv\Fall\Fall_Fall_f_raw_c_3_C_D_0123_resized.csv,1,Fall,nose,0.35344076,-1.5096899,neck,0.2145069,-0.9767225,right_shoulder,-0.4409291,-1.0186924,right_elbow,-0.8776413,-0.51970404,right_wrist,-0.9030991,-0.23026367,left_shoulder,0.86994284,-0.9347521,left_elbow,1.0899597,-0.39195758,left_wrist,0.8480081,-0.11130205,mid_hip,0.0,0.0,right_hip,-0.44507894,-0.024092633,right_knee,-0.8532602,0.26487213,right_ankle,-0.93302053,1.3649491,left_hip,0.44507882,0.024093129,left_knee,0.8311115,0.26558706,left_ankle,0.17853037,1.4523628,0,0,0
